iter	Passed	Remaining
0	0	79
1	1	77
2	2	68
3	2	61
4	3	58
5	3	56
6	4	55
7	4	55
8	5	55
9	6	54
10	6	54
11	7	54
12	8	55
13	8	54
14	9	55
15	10	54
16	10	53
17	11	53
18	12	53
19	13	52
20	13	52
21	14	51
22	15	51
23	16	51
24	16	50
25	17	50
26	18	49
27	19	49
28	19	48
29	20	47
30	21	47
31	21	46
32	22	45
33	23	44
34	23	44
35	24	43
36	25	43
37	26	42
38	27	42
39	28	42
40	29	41
41	29	40
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	62	9
87	62	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	67	3
95	68	2
96	69	2
97	70	1
98	70	0
99	71	0
